edition,start_date,winner_name,winner_team,distance,distance_unit,time_overall,time_margin,time_unit,stage_wins,stages_led,height,weight,age,born,died,full_name,nickname,birth_town,birth_country,nationality
1,1903-07-01,"Garin, Maurice",La Française,1508.688788,MI,340394,10761,sec,3,6,1.62,60,32,1871-03-03,1957-02-19,NA,The Little Chimney-sweep,Arvier,Italy, France
2,1904-07-02,Henri Cornet,Conte,2428,KM,96.09861111111111,2.2705555555555557,hr,1,3,NA,NA,19,1884-08-04,1941-03-18,NA,Le rigolo (The joker),Desvres,France, France
11,1913-06-29,Philippe Thys,Peugeot–Wolber,5287,KM,197.9,0.13555555555555554,hr,1,8,NA,NA,23,1889-10-08,1971-01-16,NA,Le basset (The Basset Hound),Anderlecht,Belgium, Belgium
12,1914-06-28,Philippe Thys,Peugeot–Wolber,3342.97598,MI,200.48,0.016944444444444443,hr,1,15,NA,NA,24,1889-10-08,1971-01-16,NA,Le basset (The Basset Hound),Anderlecht,Belgium, Belgium
13,1919-06-29,Firmin Lambot,La Sportive,5560,KM,231.12083333333334,1.7149999999999999,hr,1,2,NA,NA,33,1886-03-14,1964-01-19,NA,NA,Florennes,Belgium, Belgium
14,1920-06-27,Philippe Thys,La Sportive,5503,KM,822972.9999999999,3477,sec,4,14,NA,NA,30,1889-10-08,1971-01-16,NA,Le basset (The Basset Hound),Anderlecht,Belgium, Belgium
15,1921-06-26,Léon Scieur,La Sportive,3408.219935,MI,221.84055555555557,0.305,hr,2,14,NA,NA,33,1888-03-18,1969-10-07,NA,NA,Florennes,Belgium, Belgium
16,1922-06-25,Firmin Lambot,Peugeot–Wolber,5375,KM,222.135,0.6947222222222222,hr,0,3,NA,NA,36,1886-03-14,1964-01-19,NA,NA,Florennes,Belgium, Belgium
17,1923-06-24,Henri Pélissier,Automoto–Hutchinson,5386,KM,222.25833333333333,0.5083333333333333,hr,3,6,NA,NA,34,1889-01-22,1935-05-01,NA,NA,Paris,France, France
18,1924-06-22,Ottavio Bottecchia,Automoto,3370.937675,MI,226.30583333333334,0.5930555555555556,hr,4,15,NA,NA,29,1894-08-01,1927-06-15,NA,NA,San Martino di Colle Umberto,Italy, Italy
19,1925-06-21,Ottavio Bottecchia,Automoto–Hutchinson,5440,KM,789018,3294,sec,4,13,NA,NA,30,1894-08-01,1927-06-15,NA,NA,San Martino di Colle Umberto,Italy, Italy
20,1926-06-20,"Buysse, Lucien",Automoto–Hutchinson,5745,KM,238.74027777777778,1.3736111111111111,hr,2,8,NA,NA,33,1892-09-11,1980-01-03,NA,NA,Wontergem,Belgium, Belgium
21,1927-06-19,Nicolas Frantz,Alcyon–Dunlop,3354.1606580000002,MI,198.27833333333334,1.811388888888889,hr,3,14,NA,NA,27,1899-11-04,1985-11-08,NA,NA,Mamer,Luxembourg, Luxembourg
22,1928-06-17,Nicolas Frantz,Alcyon–Dunlop,5476,KM,192.81611111111113,0.8472222222222222,hr,5,22,NA,NA,28,1899-11-04,1985-11-08,NA,NA,Mamer,Luxembourg, Luxembourg
23,1929-06-30,Maurice De Waele,Alcyon–Dunlop,5286,KM,186.65416666666667,0.7455555555555555,hr,1,16,NA,NA,32,1896-12-27,1952-02-14,NA,NA,Lovendegem,Belgium, Belgium
24,1930-07-02,André Leducq,Alcyon–Dunlop,2996.250962,MI,619935.9999999999,854,sec,2,13,NA,NA,26,1904-02-27,1980-06-18,NA,NA,Saint-Ouen,France, France
25,1931-06-30,Antonin Magne,France,5091,KM,177.1675,0.20333333333333334,hr,1,16,NA,NA,27,1904-01-15,1983-09-08,NA,NA,Ytrac,France, France
26,1932-07-06,André Leducq,France,4479,KM,154.19694444444445,0.4066666666666667,hr,6,19,NA,NA,28,1904-02-27,1980-06-18,NA,NA,Saint-Ouen,France, France
27,1933-06-27,Georges Speicher,France,2730.925545,MI,147.86027777777778,0.06777777777777777,hr,3,12,NA,NA,26,1907-06-08,1978-01-24,NA,NA,Paris,France, France
28,1934-07-03,Antonin Magne,France,4470,KM,147.23277777777778,0.4575,hr,3,22,NA,NA,30,1904-01-15,1983-09-08,NA,NA,Ytrac,France, France
29,1935-07-04,Romain Maes,Belgium,4338,KM,508980,1037,sec,3,21,NA,NA,22,1912-08-10,1983-02-22,NA,NA,Zerkegem,Belgium, Belgium
30,1936-07-07,Sylvère Maes,Belgium,2760.129982,MI,142.79222222222222,0.4405555555555556,hr,4,14,NA,NA,26,1909-08-27,1966-12-05,NA,NA,Zevekote,Belgium, Belgium
31,1937-06-30,"Lapébie, Roger",France,4415,KM,138.9752777777778,0.11861111111111111,hr,3,4,NA,NA,26,1911-01-16,1996-10-12,NA,NA,Bayonne,France, France
32,1938-07-05,Gino Bartali,Italy,4694,KM,148.48666666666665,0.305,hr,2,8,1.72,66,23,1914-07-18,2000-05-05,NA,"Gino the Pious, Ginettaccio, L'uomo di ferro, L'intramontabile",Ponte e Ema,Italy, Italy
33,1939-07-10,Sylvère Maes,Belgium,2624.671104,MI,132.05472222222224,0.5083333333333333,hr,2,8,NA,NA,29,1909-08-27,1966-12-05,NA,NA,Zevekote,Belgium, Belgium
34,1947-06-25,Jean Robic,France,4642,KM,533485.0000000001,183,sec,3,1,1.61,60,26,1921-06-10,1980-10-06,NA,"Biquet (Kid goat), Tête de cuir (Leather-head), Le farfadet de la lande Bretonne,
Gueule cassée",Vouziers,France, France
35,1948-06-30,Gino Bartali,Italy,4922,KM,147.17666666666665,0.4405555555555556,hr,7,9,1.72,66,33,1914-07-18,2000-05-05,NA,"Gino the Pious, Ginettaccio, L'uomo di ferro, L'intramontabile",Ponte e Ema,Italy, Italy
36,1949-06-30,Fausto Coppi,Italy,2987.551768,MI,149.68027777777777,0.16944444444444443,hr,3,5,1.77,68,29,1919-09-15,1960-01-02,Angelo Fausto Coppi,"The Heron,Il Campionissimo
(Champion of Champions)",Castellania,Italy, Italy
37,1950-07-13,Ferdinand Kübler,Switzerland,4773,KM,145.61555555555555,0.1525,hr,3,11,NA,NA,30,1919-07-24,2016-12-29,NA,"Ferdi, The Cowboy, The Eagle of Adliswil, Mr 100,000 Volts[",Marthalen,Switzerland,  Switzerland
38,1951-07-04,Hugo Koblet,Switzerland,4690,KM,142.33722222222224,0.37277777777777776,hr,5,11,NA,NA,26,1925-03-21,1964-11-06,NA,"Beautiful Hugo, Le pédaleur de charme",Zürich,Switzerland,  Switzerland
39,1952-06-25,Fausto Coppi,Italy,3043.475158,MI,547040,1708,sec,5,14,1.77,68,30,1919-09-15,1960-01-02,Angelo Fausto Coppi,"The Heron,Il Campionissimo
(Champion of Champions)",Castellania,Italy, Italy
40,1953-07-03,Louison Bobet,France,4476,KM,129.39027777777778,0.23722222222222222,hr,2,5,1.79,75,26,1925-03-12,1983-03-13,NA,"Louison, Zonzon",Saint-Méen-le-Grand,France, France
41,1954-07-08,Louison Bobet,France,4656,KM,140.1013888888889,0.25416666666666665,hr,3,14,1.79,75,29,1925-03-12,1983-03-13,NA,"Louison, Zonzon",Saint-Méen-le-Grand,France, France
42,1955-07-07,"Bobet, Louison",France,2793.062645,MI,130.49055555555555,0.06777777777777777,hr,2,6,1.79,75,30,1925-03-12,1983-03-13,NA,"Louison, Zonzon",Saint-Méen-le-Grand,France, France
43,1956-07-05,Roger Walkowiak,France,4498,KM,124.02111111111111,0.016944444444444443,hr,0,8,NA,NA,29,1927-03-02,2017-02-06,NA,Walko,Montluçon,France, France
44,1957-06-27,Jacques Anquetil,France,4669,KM,488681.99999999994,854,sec,4,15,1.76,70,23,1934-01-08,1987-11-18,NA,"Monsieur Chrono, Maître Jacques",Mont-Saint-Aignan,France, France
45,1958-06-26,Charly Gaul,Luxembourg,2683.701349,MI,116.98472222222222,0.050833333333333335,hr,4,2,1.73,64,25,1932-12-08,2005-12-06,NA,Angel of the Mountains,Pfaffenthal,Luxembourg, Luxembourg
46,1959-06-25,Federico Bahamontes,Spain,4358,KM,123.77916666666667,0.06777777777777777,hr,1,6,NA,NA,30,1928-07-09,NA,Alejandro Martín Bahamontes,The Eagle of Toledo,Santo Domingo-Caudilla,Spain, Spain
47,1960-06-26,Gastone Nencini,Italy,4173,KM,112.14500000000001,0.08472222222222221,hr,0,14,NA,NA,30,1930-03-01,1980-02-01,NA,"Il Leone del Mugello, Faccia di fatica (Fatigue-face)",Barberino di Mugello,Italy, Italy
48,1961-06-25,Jacques Anquetil,France,2732.168287,MI,122.02583333333334,0.20333333333333334,hr,2,21,1.76,70,27,1934-01-08,1987-11-18,NA,"Monsieur Chrono, Maître Jacques",Mont-Saint-Aignan,France, France
49,1962-06-24,Jacques Anquetil,Saint-Raphaël–Helyett–Hutchinson,4274,KM,412314,243.99999999999997,sec,2,3,1.76,70,28,1934-01-08,1987-11-18,NA,"Monsieur Chrono, Maître Jacques",Mont-Saint-Aignan,France, France
50,1963-06-23,Jacques Anquetil,Saint-Raphaël–Gitane–R. Geminiani,4138,KM,113.50138888888888,0.050833333333333335,hr,4,5,1.76,70,29,1934-01-08,1987-11-18,NA,"Monsieur Chrono, Maître Jacques",Mont-Saint-Aignan,France, France
51,1964-06-22,Jacques Anquetil,Saint-Raphaël–Gitane–Dunlop,2798.6549840000002,MI,127.16222222222223,0.015277777777777777,hr,4,6,1.76,70,30,1934-01-08,1987-11-18,NA,"Monsieur Chrono, Maître Jacques",Mont-Saint-Aignan,France, France
52,1965-06-22,Felice Gimondi,Salvarani,4188,KM,116.70166666666667,0.033888888888888885,hr,3,18,1.81,71,22,1942-09-29,2019-08-16,NA,The Phoenix,Sedrina,Italy, Italy
53,1966-06-21,"Aimar, Lucien",Ford France–Hutchinson,4329,KM,117.57249999999999,0.016944444444444443,hr,0,6,NA,NA,25,1941-04-28,NA,NA,NA,Hyères,France, France
54,1967-06-29,Roger Pingeon,Peugeot–BP–Michelin,2969.532009,MI,492829.99999999994,183,sec,1,17,1.82,72,26,1940-08-28,2017-03-19,NA,"Le grand échassier, Le plombier-zingueur",Hauteville-Lompnes,France, France
55,1968-06-27,Jan Janssen,Pelforth–Sauvage–Lejeune,4492,KM,133.82833333333332,0.010555555555555556,hr,2,1,NA,NA,28,1940-05-19,NA,Johannes Adrianus Janssen,NA,Nootdorp,Netherlands, Netherlands
56,1969-06-28,Eddy Merckx,Faema,4117,KM,116.26722222222222,0.28805555555555556,hr,6,18,1.82,74,24,1945-06-17,NA,Édouard Louis Joseph Merckx,The Cannibal,Meensel-Kiezegem,Belgium, Belgium
57,1970-06-27,Eddy Merckx,Faemino–Faema,2643.312234,MI,119.53027777777778,0.20333333333333334,hr,8,20,1.82,74,25,1945-06-17,NA,Édouard Louis Joseph Merckx,The Cannibal,Meensel-Kiezegem,Belgium, Belgium
58,1971-06-26,Eddy Merckx,Molteni,3608,KM,96.7538888888889,0.1525,hr,4,17,1.82,74,26,1945-06-17,NA,Édouard Louis Joseph Merckx,The Cannibal,Meensel-Kiezegem,Belgium, Belgium
59,1972-07-01,Eddy Merckx,Molteni,3846,KM,389838,609.9999999999999,sec,6,15,1.82,74,27,1945-06-17,NA,Édouard Louis Joseph Merckx,The Cannibal,Meensel-Kiezegem,Belgium, Belgium
60,1973-06-30,Luis Ocaña,Bic,2541.40739,MI,122.42611111111111,0.25416666666666665,hr,6,14,1.65,52,28,1945-06-09,1994-06-19,Jesús Luis Ocaña Pernía,NA,Priego,Spain, Spain
61,1974-06-27,Eddy Merckx,Molteni,4098,KM,116.28277777777778,0.13555555555555554,hr,8,18,1.82,74,29,1945-06-17,NA,Édouard Louis Joseph Merckx,The Cannibal,Meensel-Kiezegem,Belgium, Belgium
62,1975-06-26,Bernard Thévenet,Peugeot–BP–Michelin,4000,KM,114.59194444444444,0.033888888888888885,hr,2,8,NA,NA,27,1948-01-10,NA,NA,Nanard,Saint-Julien-de-Civry,France, France
63,1976-06-24,Lucien Van Impe,Gitane–Campagnolo,2496.047307,MI,116.37305555555555,0.06777777777777777,hr,1,12,NA,58,29,1946-10-20,NA,NA,de kleine van Mere,Mere,Belgium, Belgium
64,1977-06-30,"Thévenet, Bernard",Peugeot–Esso–Michelin,4096,KM,416310.00000000006,48,sec,1,8,NA,NA,29,1948-01-10,NA,NA,Nanard,Saint-Julien-de-Civry,France, France
65,1978-06-29,Bernard Hinault,Renault–Gitane–Campagnolo,3908,KM,108.3,0.050833333333333335,hr,3,3,1.74,62,23,1954-11-14,NA,NA,"Le Blaireau (The Badger), Le Patron (The Boss)",Yffiniac,France, France
66,1979-06-27,Bernard Hinault,Renault–Gitane,2339.461815,MI,103.11388888888888,0.2202777777777778,hr,7,17,1.74,62,24,1954-11-14,NA,NA,"Le Blaireau (The Badger), Le Patron (The Boss)",Yffiniac,France, France
67,1980-06-26,Joop Zoetemelk,TI–Raleigh–Creda,3842,KM,109.32055555555556,0.10166666666666667,hr,2,10,1.73,68,33,1946-12-03,NA,Hendrik Gerardus Joseph Zoetemelk,Joop,The Hague,Netherlands, Netherlands
68,1981-06-25,Bernard Hinault,Renault–Elf–Gitane,3753,KM,96.32722222222222,0.23722222222222222,hr,5,18,1.74,62,26,1954-11-14,NA,NA,"Le Blaireau (The Badger), Le Patron (The Boss)",Yffiniac,France, France
69,1982-07-02,Bernard Hinault,Renault–Elf–Gitane,2179.1480970000002,MI,331726,366,sec,4,12,1.74,62,27,1954-11-14,NA,NA,"Le Blaireau (The Badger), Le Patron (The Boss)",Yffiniac,France, France
70,1983-07-01,Laurent Fignon,Renault–Elf,3809,KM,105.13111111111111,0.06777777777777777,hr,1,6,1.74,67,22,1960-08-12,2010-08-31,Laurent Patrick Fignon,Le Professeur (The Professor),Paris,France, France
71,1984-06-29,Laurent Fignon,Renault–Elf,4021,KM,112.0611111111111,0.16944444444444443,hr,5,7,1.74,67,23,1960-08-12,2010-08-31,Laurent Patrick Fignon,Le Professeur (The Professor),Paris,France, France
72,1985-06-28,Bernard Hinault,La Vie Claire,2553.213439,MI,113.4063888888889,0.016944444444444443,hr,2,16,1.74,62,30,1954-11-14,NA,NA,"Le Blaireau (The Badger), Le Patron (The Boss)",Yffiniac,France, France
73,1986-07-04,Greg LeMond,La Vie Claire,4094,KM,110.5886111111111,0.050833333333333335,hr,1,7,1.78,67,25,1961-06-26,NA,Gregory James LeMond,"L’Americain, LeMonster",Lakewood,USA, United States
74,1987-07-01,Stephen Roche,Carrera Jeans–Vagabond,4231,KM,415662,40,sec,1,3,1.75,74,27,1959-11-28,NA,NA,NA,Dundrum,Ireland, Ireland
75,1988-07-02,"Delgado, Pedro",Reynolds,2041.825106,MI,84.46472222222222,0.11861111111111111,hr,1,11,1.71,64,28,1960-04-15,NA,Pedro Delgado Robledo,Perico,Segovia,Spain, Spain
76,1989-07-01,Greg LeMond,AD Renting–W-Cup–Bottecchia,3285,KM,87.64305555555556,0.0022222222222222222,hr,3,8,1.78,67,28,1961-06-26,NA,Gregory James LeMond,"L’Americain, LeMonster",Lakewood,USA, United States
77,1990-06-30,Greg LeMond,Z–Tomasso,3504,KM,90.72222222222223,0.033888888888888885,hr,0,2,1.78,67,29,1961-06-26,NA,Gregory James LeMond,"L’Americain, LeMonster",Lakewood,USA, United States
78,1991-07-06,Miguel Induráin,Banesto,2432.046094,MI,101.02222222222223,0.050833333333333335,hr,2,10,1.86,80,26,1964-07-16,NA,Miguel Induráin Larraya,"Miguelón, Big Mig (English)",Villava,Spain, Spain
79,1992-07-04,Miguel Induráin,Banesto,3983,KM,362970,243.99999999999997,sec,3,10,1.86,80,27,1964-07-16,NA,Miguel Induráin Larraya,"Miguelón, Big Mig (English)",Villava,Spain, Spain
80,1993-07-03,Miguel Induráin,Banesto,3714,KM,95.9525,0.06777777777777777,hr,2,14,1.86,80,28,1964-07-16,NA,Miguel Induráin Larraya,"Miguelón, Big Mig (English)",Villava,Spain, Spain
81,1994-07-02,Miguel Induráin,Banesto,2471.813838,MI,103.6438888888889,0.08472222222222221,hr,1,13,1.86,80,29,1964-07-16,NA,Miguel Induráin Larraya,"Miguelón, Big Mig (English)",Villava,Spain, Spain
82,1995-07-01,Miguel Induráin,Banesto,3635,KM,92.74972222222222,0.06777777777777777,hr,2,13,1.86,80,30,1964-07-16,NA,Miguel Induráin Larraya,"Miguelón, Big Mig (English)",Villava,Spain, Spain
83,1996-06-29,Bjarne Riis,Team Telekom,3765,KM,95.95444444444445,0.016944444444444443,hr,2,13,1.84,71,32,1964-04-03,NA,Bjarne Lykkegård Riis,"Ørnen fra Herning
(The Eagle from Herning)",Herning,Denmark, Denmark
84,1997-07-05,Jan Ullrich,Team Telekom,2454.41545,MI,361835,549,sec,2,12,1.83,73,23,1973-12-02,NA,NA,"Der Kaiser, Der Jan, Der Junge, The Yoyo",Rostock,Germany, Germany
85,1998-07-11,Marco Pantani,Mercatone Uno–Bianchi,3875,KM,92.82944444444443,0.050833333333333335,hr,2,7,1.72,57,28,1970-01-13,2004-02-14,NA,"Il Pirata (The pirate), Elefantino (The little elephant)",Cesena,Italy, Italy
86,1999-07-03,"Armstrong, Lance",U.S. Postal Service,3687,KM,91.53777777777778,0.11861111111111111,hr,4,15,1.77,75,27,1971-09-18,NA,Lance Edward Armstrong,"Le Boss, Big Tex",Plano,USA, United States
87,2000-07-01,Lance Armstrong,U.S. Postal Service,2275.460602,MI,92.55222222222221,0.10166666666666667,hr,1,12,1.77,75,28,1971-09-18,NA,Lance Edward Armstrong,"Le Boss, Big Tex",Plano,USA, United States
88,2001-07-07,Lance Armstrong,U.S. Postal Service,3458,KM,86.2911111111111,0.10166666666666667,hr,4,8,1.77,75,29,1971-09-18,NA,Lance Edward Armstrong,"Le Boss, Big Tex",Plano,USA, United States
89,2002-07-06,Lance Armstrong,U.S. Postal Service,3272,KM,295512,427,sec,4,11,1.77,75,30,1971-09-18,NA,Lance Edward Armstrong,"Le Boss, Big Tex",Plano,USA, United States
90,2003-07-05,Lance Armstrong,U.S. Postal Service,2129.438417,MI,83.68666666666667,0.016944444444444443,hr,1,13,1.77,75,31,1971-09-18,NA,Lance Edward Armstrong,"Le Boss, Big Tex",Plano,USA, United States
91,2004-07-03,Lance Armstrong,U.S. Postal Service,3391,KM,83.60055555555554,0.10166666666666667,hr,5,7,1.77,75,32,1971-09-18,NA,Lance Edward Armstrong,"Le Boss, Big Tex",Plano,USA, United States
92,2005-07-02,Lance Armstrong,Discovery Channel,3593,KM,86.25055555555555,0.06777777777777777,hr,1,17,1.77,75,33,1971-09-18,NA,Lance Edward Armstrong,"Le Boss, Big Tex",Plano,USA, United States
93,2006-07-01,Óscar Pereiro,Caisse d'Epargne–Illes Balears,2272.353747,MI,89.67416666666666,0.008888888888888889,hr,0,8,1.77,68,28,1977-08-03,NA,Óscar Pereiro Sío,NA,Mos,Spain, Spain
94,2007-07-07,Alberto Contador,Discovery Channel,3570,KM,327626,23,sec,1,4,1.76,62,24,1982-12-06,NA,Alberto Contador Velasco,El Pistolero,Pinto,Spain, Spain
95,2008-07-05,Carlos Sastre,Team CSC,3559,KM,87.88111111111111,0.01611111111111111,hr,1,5,1.73,60,33,1975-04-22,NA,Carlos Sastre Candil,NA,Leganés,Spain, Spain
96,2009-07-04,Alberto Contador,Astana,2149.322289,MI,85.80972222222222,0.06777777777777777,hr,2,7,1.76,62,26,1982-12-06,NA,Alberto Contador Velasco,El Pistolero,Pinto,Spain, Spain
97,2010-07-03,"Schleck, Andy",Team Saxo Bank,3642,KM,91.99083333333333,0.016944444444444443,hr,2,12,1.86,68,25,1985-06-10,NA,Andy Raymond Schleck,NA,Luxembourg City,Luxembourg, Luxembourg
98,2011-07-02,Cadel Evans,BMC Racing Team,3430,KM,86.20611111111111,0.016944444444444443,hr,1,2,1.74,64,34,1977-02-14,NA,Cadel Lee Evans,NA,Katherine,Australia, Australia
99,2012-06-20,Bradley Wiggins,Team Sky,2172.313016,MI,315287,183,sec,2,14,1.9,69,32,1980-04-28,NA,Bradley Marc Wiggins,Wiggo,Ghent,Belgium, Great Britain
100,2013-06-29,Chris Froome,Team Sky,3404,KM,83.9388888888889,0.06777777777777777,hr,3,14,1.86,69,28,1985-05-20,NA,Christopher Clive Froome,Froomey,Nairobi,Kenya, Great Britain
101,2014-07-05,Vincenzo Nibali,Astana,3660.5,KM,89.985,0.11861111111111111,hr,4,19,1.8,65,29,1984-11-14,NA,NA,"Lo Squalo (The Shark), 'il Roditore' (The Nibbler)",Messina,Italy, Italy
102,2015-07-04,Chris Froome,Team Sky,2087.9929713,MI,84.77055555555556,0.016944444444444443,hr,1,16,1.86,69,30,1985-05-20,NA,Christopher Clive Froome,Froomey,Nairobi,Kenya, Great Britain
103,2016-07-02,Chris Froome,Team Sky,3529,KM,89.08,0.06777777777777777,hr,2,14,1.86,69,31,1985-05-20,NA,Christopher Clive Froome,Froomey,Nairobi,Kenya, Great Britain
104,2017-07-01,Chris Froome,Team Sky,3540,KM,310855,54,sec,0,15,1.86,69,32,1985-05-20,NA,Christopher Clive Froome,Froomey,Nairobi,Kenya, Great Britain
105,2018-07-07,Geraint Thomas,Team Sky,2080.971479,MI,83.28694444444444,0.016944444444444443,hr,2,11,1.83,71,32,1986-05-25,NA,Geraint Howell Thomas,G,Cardiff,Wales, Great Britain
106,2019-07-06,Egan Bernal,Team Ineos,3349,KM,82.95,0.016944444444444443,hr,0,2,1.75,60,22,1997-01-13,NA,Egan Arley Bernal Gómez,NA,Bogotá,Columbia, Colombia
